WKT,ID,Use_Cat,Cons_Frame
POINT (422860.88198424265 8449947.81112285),1356,Outbuilding,Masonry
POINT (422829.3175077156 8449950.739645345),1357,Outbuilding,Masonry
POINT (422817.68659629254 8449939.478408948),1358,Outbuilding,Masonry
POINT (422503.0118242101 8450184.299498819),1359,Outbuilding,Masonry
POINT (424542.22399216663 8449029.243456844),1541,Religious,Reinforced Concrete
POINT (424495.7662855002 8449069.121863244),1542,Residential,Masonry
POINT (424484.2798779758 8449055.598369408),1543,Outbuilding,Masonry
POINT (424665.70863958885 8449241.82885364),1544,Residential,Masonry
POINT (424246.63992926286 8449169.556750558),1545,Outbuilding,Masonry
POINT (424577.8860214382 8449258.045592302),1546,Residential,Masonry
POINT (424493.045218318 8449191.855470976),1547,Residential,Masonry
POINT (424496.40216004266 8449324.90780746),1548,Outbuilding,Masonry
POINT (424493.14208759344 8449310.611279255),1549,Outbuilding,Masonry
POINT (424385.9858798929 8449253.3727069),1550,Residential,Masonry
POINT (424367.7184982423 8449257.830766799),1551,Residential,Masonry
POINT (424338.6388537019 8449250.971343754),1552,Outbuilding,Masonry
POINT (424364.91240982036 8449248.31470831),1553,Outbuilding,Masonry
POINT (424442.9789217656 8449328.164671827),1554,Residential,Masonry
POINT (424419.0515844707 8449342.295049591),1555,Outbuilding,Masonry
POINT (424367.2422522232 8449345.752036747),1556,Residential,Masonry
POINT (433158.76616502006 8448975.583759306),14738,,
POINT (432787.97449636395 8449183.8077992),1160,,
POINT (433077.01873656816 8448961.894462267),9552,,
POINT (432778.36825458583 8449193.475503476),11709,,
POINT (433177.918242407 8448964.817058712),6094,,
POINT (432843.4474151025 8449456.272102378),9802,,
POINT (433275.7527387228 8448741.253745269),16253,,
POINT (433084.7920137819 8449190.736190815),18729,,
POINT (432792.32871235616 8449195.04548635),11396,,
POINT (432654.72167210694 8449148.825817922),16409,,
POINT (432919.08879203274 8449079.275972102),16637,,
POINT (432936.34753612865 8449064.961238489),14739,,
POINT (433273.0810888563 8448834.6647043),10347,,
POINT (432685.18687802035 8449135.489589226),14374,,
POINT (433092.47100873454 8448905.61484844),19387,,
POINT (433052.5114685757 8448832.844722347),10750,,
POINT (433054.6424365277 8448321.183324546),7779,Religious,Reinforced Concrete
POINT (433023.2580751489 8448336.060929425),15815,Residential,Masonry
POINT (433194.4467415448 8448354.11212139),13213,Residential,Masonry
POINT (433248.73269511765 8448456.933567947),6910,Residential,Masonry
POINT (433273.71960965195 8448503.267389352),13391,Residential,Masonry
POINT (433339.2231921346 8448493.614817431),6320,Residential,Masonry
POINT (433228.78611800703 8448487.855861235),16307,Outbuilding,Masonry
POINT (433058.5993099294 8448406.03143795),4489,Outbuilding,Masonry
POINT (433225.18904889293 8448447.49126466),17156,Residential,Masonry
POINT (433234.5662192117 8448471.725532986),9261,Residential,Masonry
POINT (433237.1939917547 8448484.706003284),4089,Residential,Masonry
